Time to get action,0.1108846664428711
Time to step,0.05652642250061035
Time to add to memory,0.0
Time to sample from memory,0.0
Time to calculate target,0.053580284118652344
Time to predict,0.03236651420593262
Time to fit,0.3952193260192871
Time to set weights,0.001032114028930664
Time to get action,0.03503608703613281
Time to step,0.033324241638183594
Time to add to memory,0.0
Time to sample from memory,0.0
Time to calculate target,0.03632521629333496
Time to predict,0.03268027305603027
Time to fit,0.04058051109313965
Time to calculate target,0.034360647201538086
Time to predict,0.03255605697631836
Time to fit,0.03699374198913574
Time to get action,0.03656125068664551
Time to step,0.045473337173461914
Time to add to memory,0.0
Time to sample from memory,0.0
Time to calculate target,0.0
Time to predict,0.04385828971862793
Time to fit,0.04437255859375
Time to calculate target,0.03390669822692871
Time to predict,0.03304100036621094
Time to fit,0.043853044509887695
Time to calculate target,0.03865838050842285
Time to predict,0.043370723724365234
Time to fit,0.04907798767089844
Time to set weights,0.001990795135498047
Time to get action,0.044365644454956055
Time to step,0.04479694366455078
Time to add to memory,0.0
Time to sample from memory,0.0
Time to calculate target,0.038051605224609375
Time to predict,0.047814369201660156
Time to fit,0.04942893981933594
Time to calculate target,0.04240107536315918
Time to predict,0.03787827491760254
Time to fit,0.04654550552368164
Time to calculate target,0.0
Time to predict,0.0366826057434082
Time to fit,0.046484947204589844
Time to calculate target,0.0
Time to predict,0.044809818267822266
Time to fit,0.05732417106628418
Time to get action,0.04241657257080078
Time to step,0.04017925262451172
Time to add to memory,0.0
Time to sample from memory,0.0
Time to calculate target,0.06332254409790039
Time to predict,0.04041886329650879
Time to fit,0.3927159309387207
Time to set weights,0.0010750293731689453
Time to get action,0.03450584411621094
Time to step,0.033396005630493164
Time to add to memory,0.0
Time to sample from memory,0.0
Time to calculate target,0.03328752517700195
Time to predict,0.0326077938079834
Time to fit,0.09072661399841309
Time to calculate target,0.03390955924987793
Time to predict,0.03273415565490723
Time to fit,0.03960227966308594
Time to get action,0.05225849151611328
Time to step,0.047190189361572266
Time to add to memory,0.0
Time to sample from memory,0.0
Time to calculate target,0.06290841102600098
Time to predict,0.03906726837158203
Time to fit,0.0394597053527832
Time to calculate target,0.034575462341308594
Time to predict,0.038231849670410156
Time to fit,0.037245750427246094
Time to calculate target,0.03804779052734375
Time to predict,0.04086804389953613
Time to fit,0.05233931541442871
Time to set weights,0.0020058155059814453
Time to get action,0.04323244094848633
Time to step,0.0
Time to add to memory,0.0
Time to sample from memory,0.0
Time to calculate target,0.0493619441986084
Time to predict,0.05282449722290039
Time to fit,0.05370044708251953
Time to calculate target,0.039911508560180664
Time to predict,0.04279446601867676
Time to fit,0.04319429397583008
Time to calculate target,0.046707868576049805
Time to predict,0.07933735847473145
Time to fit,0.1149754524230957
Time to calculate target,0.0
Time to predict,0.11064696311950684
Time to fit,0.10400223731994629
Time to get action,0.08410453796386719
Time to step,0.0598752498626709
Time to add to memory,0.0
Time to sample from memory,0.0
Time to calculate target,0.0
Time to predict,0.05152630805969238
Time to fit,0.07300186157226562
Time to set weights,0.0023605823516845703
Time to calculate target,0.049588918685913086
Time to predict,0.05082845687866211
Time to fit,0.0567784309387207
Time to calculate target,0.0
Time to predict,0.04735255241394043
Time to fit,0.0453948974609375
Time to calculate target,0.040862083435058594
Time to predict,0.03611278533935547
Time to fit,0.05025148391723633
Time to calculate target,0.04837346076965332
Time to predict,0.049898386001586914
Time to fit,0.05375385284423828
Time to get action,0.05126452445983887
Time to step,0.04836583137512207
Time to add to memory,0.0
Time to sample from memory,0.0009953975677490234
Time to calculate target,0.04456758499145508
Time to predict,0.03899645805358887
Time to fit,0.04883575439453125
Time to set weights,0.001994609832763672
Time to calculate target,0.0
Time to predict,0.037744760513305664
Time to fit,0.04091978073120117
Time to calculate target,0.03591632843017578
Time to predict,0.03888559341430664
Time to fit,0.04602408409118652
Time to calculate target,0.03529548645019531
Time to predict,0.0354459285736084
Time to fit,0.05046868324279785
Time to calculate target,0.04024195671081543
Time to predict,0.03401303291320801
Time to fit,0.03891110420227051
Time to calculate target,0.0
Time to predict,0.036383628845214844
Time to fit,0.04329228401184082
Time to set weights,0.0010712146759033203
Time to get action,0.03355264663696289
Time to step,0.04624676704406738
Time to add to memory,0.0
Time to sample from memory,0.0009937286376953125
Time to calculate target,0.06644511222839355
Time to predict,0.05504918098449707
Time to fit,0.05498480796813965
Time to set weights,0.001993417739868164
Time to calculate target,0.05215883255004883
Time to predict,0.0415346622467041
Time to fit,0.06072235107421875
Time to calculate target,0.06887030601501465
Time to predict,0.07794356346130371
Time to fit,0.07488369941711426
Time to calculate target,0.0
Time to predict,0.057900190353393555
Time to fit,0.08042097091674805
Time to calculate target,0.0607907772064209
Time to predict,0.08323192596435547
Time to fit,0.08540844917297363
Time to get action,0.09105563163757324
Time to step,0.06412625312805176
Time to add to memory,0.0
Time to sample from memory,0.0
Time to calculate target,0.15627765655517578
Time to predict,0.08338499069213867
Time to fit,0.17070698738098145
Time to set weights,0.0029883384704589844
Time to calculate target,0.08644294738769531
Time to predict,0.047766923904418945
Time to fit,0.052672624588012695
Time to calculate target,0.04355621337890625
Time to predict,0.04598832130432129
Time to fit,0.045552730560302734
Time to calculate target,0.03853654861450195
Time to predict,0.03388619422912598
Time to fit,0.039952754974365234
Time to calculate target,0.0
Time to predict,0.03558969497680664
Time to fit,0.037970781326293945
Time to calculate target,0.05439567565917969
Time to predict,0.05386638641357422
Time to fit,0.05333995819091797
Time to set weights,0.0030646324157714844
Time to get action,0.05980396270751953
Time to step,0.05383491516113281
Time to add to memory,0.0
Time to sample from memory,0.0
